"Código do Produto (60)","Tipo (Produto/Servico)","Nome do Produto (120)",Fornecedor,"ID Fornecedor","Marca (25)","Estoque Mínimo","Estoque Máximo","Estoque Atual","Unidade (06)","Produto Variado (Sim/Não)","Valor Venda (Tabela Padrão)","Valor Custo",Peso,"Peso Liq.",ICMS,IPI,PIS,COFINS,"Unidade tributável","Código Benefício Fiscal","Código CEST","NCM (8)","Origem (0 a 8)","Numero da ordem","Código de Barras (GTIN-8,12,13,14)","Tipo Class. (Fiscal)",Observações,"ID Categoria","ID Subcategoria","Situação (Ativo/Inativo)",Tamanho,"Localização no Estoque"
0311200003,Produto,"ADAPTADOR CURTO P/REG. 32MM X 1","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","324,00",UN,Não,"5,56","1,11","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7898527880648,,,340852,,Ativo,,
22000403,Produto,"ADAPTADOR CURTO P/REG. 40MM X 1.1/4","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"10,54","4,70","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7897613321645,,,340852,,Ativo,,
0311200005,Produto,"ADAPTADOR CURTO P/REG. 50MM X 1.1/2","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"12,36","2,09","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7898527880662,,,340852,,Ativo,,
22000608,Produto,"ADAPTADOR CURTO P/REG. 60MM X 2","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","3,00",un,Não,"10,70","4,76","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7897613321669,,,340852,,Ativo,,
000104,Produto,"ADAPTADOR DE RED INTERNO 3/4 X 1/2 AZUL","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"0,96","0,43","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7898003449499,,,340852,,Ativo,,
0311200212,Produto,"ADAPTADOR FLANGE P/CX DAGUA 25MM X 3/4","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","2,00",un,Não,"4,90","5,62",,,,,,,,,,39174090,0,,7898527880174,,,340852,,Ativo,,
0311200213,Produto,"ADAPTADOR FLANGE P/CX DAGUA 32MM X 1","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","3,00",un,Não,"8,62","8,62",,,,,,,,,,39174090,0,,7898527880181,,,340852,,Ativo,,
0311200215,Produto,"ADAPTADOR FLANGE P/CX DAGUA 50MM X 1.1/2","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","0,00",un,Não,"11,26","10,99",,,,,,,,,,39174090,0,,7898527880204,,,340852,,Ativo,,
02.001.0005,Produto,"ADAPTADOR INTERNO 1.1/2 METAL","AAGUA COMERCIO E DISTRIBUICAO DE MATERIAIS HIDRAULICOS LTDA",33950911,,"0,00","0,00","2,00",un,Não,"40,65","28,96","0,00","0,00","0,00","0,00","0,00","0,00",,,,76090000,0,,,,,340852,,Ativo,,
4627,Produto,"ADAPTADOR INTERNO R/E 3/4 PLASBOHN#","TORK FERRAMENTAS E UTILIDADES LTDA",38321485,,"0,00","0,00","0,00",un,Não,"2,24","1,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,39174090,0,,7897203424039,,,340852,,Ativo,,
